from int,157085,157446,157834,157947,157779,157293,156574,157176,157810,157555,157138,157372,157595,157330,157773,157408,157993,157128,156830,157750,157884,157966,157478,157471,157096,157454,158075,158387,156797,156452,157217,157821,157449,157627,157330,157072,157251,157656,158437,157402,157193,157942,157295,157145,158292,157980,156561,156998,157444,157524,157756,157950,157082,157113,157466,158054,157414,157149,157325,157640,157632,158073,157837,157049,156936,157833,157912,157294,157573,157500,157017,157034,157665,158023,157234,156698,157047,157399,158261,158062,157889,156923,157148,157507,158243,157353,156812,157573,157536,157397,157888,157740,156789,157245,157251,157939,156814,157825,157594,156631,157566,158334,158014,157377,157175,157449,157429,157921,158220,156674,156685,157631,158370,157057,157615,157209,156920,157668,157458,158023,157443,157166,157060,157372,157601,158407,157519
wide-range random,157322,157649,157754,157713,157440,157475,158535,157473,157223,157723,156959,156958,157477,157411,157088,157353,157220,157591,157979,157211,157370,157946,157093,157637,157114,156889,157176,157571,157528,157167,157341,157982,157907,157422,157581,157643,157683,157204,157114,157179,157795,157575,158084,156606,157663,157651,157059,156814,157774,158126,157343,157446,157413,157071,157802,157662,158207,157196,157347,157212,157129,158149,157395,157977,157587,157966,157732,157924,157454,157831,157962,157205,157275,157153,157026,157419,156929,156899,157957,157887,157185,157875,157157,156703,157894,157273,157660,157098,158063,156989,157734,157539,157645,156894,158031,156800,157725,156657,157718,157118,156845,157875,157311,157703,157430,158582,158265,158027,157500,158366,157609,157724,156944,157246,157558,157116,158162,157812,157260,158159,156948,157218,157205,156867,157493,157112,157102
narrow-range random,157133,157483,157571,157686,157379,157538,157583,157776,157466,157388,156446,156907,157144,157700,157310,157742,157255,157105,157777,157554,158144,157584,156830,157474,157700,156730,157368,157586,157349,157614,157219,158039,158000,156460,157214,157799,157879,157730,157880,157593,157274,157972,157014,157137,156989,157660,157252,157484,157816,157782,157269,157684,157377,158211,157046,157939,157632,157794,157615,157689,157551,157608,157851,157102,157421,157779,157948,157599,157595,156589,157607,157270,157453,157617,157332,158333,157826,157386,157700,157569,157304,157160,157992,157005,157208,157789,157934,157150,158031,156426,157541,157431,157133,157585,157569,157516,157104,157624,157520,157970,156805,157649,157237,157819,157049,157821,157685,158181,157391,157867,156423,157264,157157,157698,157851,157353,157385,157781,157425,156610,157779,157137,158448,157409,157765,156969,157143
