from int,159609,0,159843,0,159993,0,160480,0,160487,0,159971,0,160427,0,160177,0,159778,0,160016,0,159661,0,159741,0,160700,0,159937,0,160198,0,159616,0,160006,0,160327,0,159915,0,159751,0,159633,0,160242,0,160429,0,160284,0,160156,0,160650,0,159773,0,160028,0,160277,0,159563,0,159958,0,160063,0,160032,0,160147,0,159788,0,159772,0,160343,0,160336,0,160341,0,159874,0,159595,0,159876,0,160599,0,160171,0,160354,0,159351,0,160079,0,160388,0,160439,0,160025,0,159920,0,158888,0,159962,0,160126,0,159848,0,160416,0,160102,0,160367,0,160059,0,159564,0,159672,0,160140,0,159888,0,159907,0,159308,0,159411,0,159968,0,160753,0,160195,0,160294,0,159425,0,159775,0,159650,0,160029,0,159644,0,159427,0,159681,0,160214,0,159729,0,159847,0,160359,0,159893,0,160217,0,159975,0,159275,0,159314,0,159640,0,160388,0,160353,0,160222,0,159506,0,160047,0,160029,0,159934,0,160034,0,159977,0,160099,0,160050,0,160625,0,159966,0,159871,0,159694,0,159856,0,159443,0,160137,0,160092,0,160046,0,160564,0,160208,0,160123,0,160439,0,160032,0,160316,0,159846,0,159459,0,159389,0,159750,0,160831,0,160709,0,159743,0,159275,0,160002,0,160467,0,160778,0,159619,0
wide-range random,80171,79593,80833,80110,80006,79888,79369,79789,80461,79907,80269,79872,79733,79772,79797,79618,80227,79627,79955,80119,79869,79830,79402,79398,80605,79874,80204,80001,80319,80608,79610,80237,79912,79626,79759,80500,80500,79555,79982,80297,79984,80527,80062,80068,79708,79794,80178,79265,80173,79769,80110,79571,80043,80742,80173,80126,80137,80020,80081,79670,79784,79514,79721,78937,80077,80244,79947,80154,79809,79927,80268,79699,80006,80507,79745,79847,80293,80038,79589,80083,80393,80373,80019,79946,79741,79691,79919,80384,79711,79842,79920,79994,79982,79925,80583,80228,79870,80104,80289,80349,79987,80079,79573,79934,80515,79998,80283,79432,79808,79977,80670,79864,80148,79794,79427,79897,80432,80043,79839,79448,80142,79874,80281,80602,79510,79743,79780,79607,80309,80117,79832,80283,80208,80289,80708,79788,79904,79936,79952,80060,80265,79558,79924,79648,80269,80104,80408,80284,79963,80004,80067,80198,80124,80335,80122,79381,79970,79443,79669,80018,80383,80045,80476,80277,80406,79946,80442,80346,80140,79541,80140,80341,80388,79089,80193,79944,80156,80181,80345,80545,80017,79576,80236,80120,80055,80079,79801,80187,80335,80039,79833,80065,79925,80591,79674,80091,79983,80696,79852,80080,79657,79759,80162,80304,79846,79774,79998,80323,80304,80219,79301,79825,80667,79507,80178,79765,79879,79292,80108,80111,79922,79697,80208,79628,80315,80244,79706,80100,80449,79846,79620,79588,80381,79543,80085,80183,80161,79921,79947,80236,79971,79698,79762,79247,79840,79671,80322,79625,79857,80005
narrow-range random,80010,79829,79880,80178,80189,80208,80378,79486,80536,79522,80015,79701,80385,80650,79556,79992,80190,80106,79349,79940,79915,80045,80046,79903,79951,79955,80070,80349,80132,79844,80206,79793,80207,80151,80055,79587,79793,80246,80270,80693,80194,79657,79802,79733,80240,79834,80121,80006,80593,80428,80269,79905,80403,80140,80186,79988,80075,79723,80609,79333,80456,80042,80209,80042,80061,79945,79860,79782,79874,80124,80078,80037,79942,80071,80091,80275,80059,79936,80317,79988,79824,80124,79706,79582,80271,79430,80403,80326,79847,79840,79607,79946,80355,79617,80085,80287,80019,80190,79503,80318,80176,79695,79926,80070,80233,80433,80745,79803,80648,80033,79781,79961,79582,79810,79958,80275,80094,79974,79602,80088,79847,79603,80059,80001,79790,80347,79977,80220,80121,79181,80408,80064,79936,80378,80399,79928,79876,80335,80439,80190,79840,79404,79681,79719,80335,79443,80327,79807,79660,79698,79874,79951,80282,79690,79564,79852,79579,79993,79930,80149,79942,79512,79977,79574,79819,80482,80138,79977,80383,79823,79898,80035,80028,80286,79898,80240,80079,80230,80644,80065,79614,79675,80092,80259,80225,79873,79866,80079,79955,80081,80149,80063,79855,79980,80361,79538,80073,80087,79879,80082,79791,79625,79705,80157,79426,79965,80165,79921,79492,80082,80274,80008,79735,79518,79784,80400,80414,79996,80086,79799,79995,79740,79697,79700,79898,79781,80325,80772,80472,80286,79727,80507,79738,79643,80056,79838,80140,80270,79897,80244,80077,79934,79987,79740,79722,79817,79535,79925,79782,79813
