from int,433385,0,8704,0,436280,0,8640,0,798368,0,8660,0,792576,0,8688,0,432978,0,8712,0,436288,0,8640,0,812321,0,8658,0,792606,0,8688,0,433254,0,10160,0,436224,0,10128,0,798420,0,5116,0,792584,0,5184,0,432920,0,10160,0,436244,0,10128,0,812356,0,5113,0,792640,0,5184,0,433371,0,10156,0,436224,0,10128,0,798972,0,5124,0,792584,0,5184,0,432783,0,10149,0,436240,0,10128,0,811820,0,5114,0,792640,0,5184,0,433516,0,8711,0,436288,0,8640,0,798884,0,8667,0,792606,0,8688,0,432842,0,8704,0,436280,0,8640,0,811808,0,8654,0,792576,0,8688,0
wide-range random,156101,156361,155122,156017,156751,155989,156103,155481,156385,156606,155549,157051,156205,156127,156812,156614,156442,156811,155462,156015,156522,156833,156468,155996,156912,156481,156635,156845,155471,156203,156469,156862,155943,155951,155413,155651,156102,156003,156366,155500,156498,155596,156542,156976,155974,156611,156997,157056,156059,155693,155239,154939,155992,156350,154804,155396,156561,155958,156969,156594,156478,156938,156490,157206,156835,156425,155444,156090,156414,155765,156353,155929,156149,156392,157348,156921,156125,155544,156528,157308,156005,156361,155610,155441,156867,155225,155997,155342,156123,155862,157020,157004,155809,155811,156461,156439,155883,155903,156319,155755,155804,156523,156067,156234,155946,156521,156911,156384,156241,156738,157036,157040,156333,156587,155541,155372,156129,156801,155851,155738,156554,156572,156631,157178,156102,156196,156771,156846
narrow-range random,2537,2183,268900,268158,2531,2254,268908,267683,2397,2562,352781,351534,2444,2603,351988,350932,2472,2257,268428,267767,2601,2234,269608,268628,2485,2474,352069,351270,2396,2543,351242,351695,2438,2164,268376,268221,2603,2306,269415,268765,2446,2581,353612,352951,2465,2515,351242,351695,2505,2202,267229,268138,2539,2164,268381,268601,2447,2648,352160,351803,2412,2501,350425,351384,2585,2198,268610,267957,2496,2174,267609,268747,2420,2672,351769,352437,2440,2624,351397,350359,2669,2241,268647,268903,2605,2147,269407,268266,2400,2593,351486,351822,2408,2516,351539,352170,2525,2185,267652,268045,2488,2154,268326,268147,2503,2591,351728,352765,2481,2497,350782,351551,2565,2185,268193,269029,2517,2239,268014,269136,2498,2565,351847,351351,2454,2505,350768,351503
